object_id,bundle_id,section_code,crc32,page_id,page_number,page_size_key,element_count,text_count,line_count,frame_count,image_count,table_count,page_signature,page_signature_source
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_45,45,595.0x842.0r0,32,28,1,1,2,0,7bf94d5c72c02063e2f3ca8b6f0eb26f7a4ba4dc,size:595.0x842.0r0|elements:32|text:28|lines:1|frames:1|images:2|tables:0|groups:frames:1:225919.5:0.0:0:0;images:2:7249.9:0.0:0:0;lines:1:0.0:232.9:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:28:56125.7:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_1,1,595.4x842.0r0,39,34,0,3,1,1,6ba8046ff92847f7b53f51c5afbbfbbdaa406eb8,size:595.4x842.0r0|elements:39|text:34|lines:0|frames:3|images:1|tables:1|groups:frames:3:6333.3:0.0:0:0;images:1:5489.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:34:143759.5:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_2,2,595.4x842.0r0,43,37,0,3,2,1,ba671271ccc2fcb1f66491a1ee76ffac8368caa4,size:595.4x842.0r0|elements:43|text:37|lines:0|frames:3|images:2|tables:1|groups:frames:3:6333.3:0.0:0:0;images:2:8614.3:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:37:151145.0:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_3,3,595.3x841.9r0,37,32,0,1,3,1,9faa43d8315e077b825a76d3372fcaa54ab31ecc,size:595.3x841.9r0|elements:37|text:32|lines:0|frames:1|images:3|tables:1|groups:frames:1:417112.6:0.0:0:0;images:3:61626.3:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:66583.1:0.0:1:21;text:32:31306.7:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_4,4,595.3x841.9r0,69,65,0,1,2,1,3134792eb78570bbddea4883c163c9e8b6d82306,size:595.3x841.9r0|elements:69|text:65|lines:0|frames:1|images:2|tables:1|groups:frames:1:416261.6:0.0:0:0;images:2:25161.9:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:196500.3:0.0:1:44;text:65:138456.0:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_5,5,595.3x841.9r0,101,86,0,13,1,1,6897ccd60b044c901229d8889081486bd20281f1,size:595.3x841.9r0|elements:101|text:86|lines:0|frames:13|images:1|tables:1|groups:frames:13:21403.4:0.0:0:0;images:1:500888.4:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:336556.9:0.0:1:80;text:86:191843.8:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_6,6,595.3x841.9r0,97,79,0,16,1,1,53902d4d41ef0b7438ae96c0774f1ddcc416dc6c,size:595.3x841.9r0|elements:97|text:79|lines:0|frames:16|images:1|tables:1|groups:frames:16:34114.7:0.0:0:0;images:1:499194.7:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:268398.3:0.0:1:70;text:79:169362.5:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_7,7,595.3x841.9r0,49,34,0,13,1,1,a9876ebd9a6a350e362e35820d9b86ebfde53733,size:595.3x841.9r0|elements:49|text:34|lines:0|frames:13|images:1|tables:1|groups:frames:13:17793.0:0.0:0:0;images:1:504686.2:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:68215.5:0.0:1:37;text:34:26857.7:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_8,8,595.3x841.9r0,64,59,0,2,3,0,5a030938e86fcac7b147baf1aeb12e1753bcae60,size:595.3x841.9r0|elements:64|text:59|lines:0|frames:2|images:3|tables:0|groups:frames:2:59584.9:0.0:0:0;images:3:61626.5:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:59:167399.0:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_9,9,595.3x841.9r0,75,62,0,12,1,0,7ecf62beda1ce15ec606189bd81f85d2498cf01d,size:595.3x841.9r0|elements:75|text:62|lines:0|frames:12|images:1|tables:0|groups:frames:12:16375.0:0.0:0:0;images:1:500888.4:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:62:173510.0:0.0:0:0
